epoch_ms,t_ms,Bx_uT,By_uT,Bz_uT,dBx_uT,dBy_uT,dBz_uT,Fx_N,Fy_N,Fz_N
1783675899043,2098,20.70,3.15,147.38,1.0890,-1.0440,-3.5045,0.01028,0.00711,0.25375
1783675899100,2155,19.80,4.20,149.80,0.1890,0.0060,-1.0845,0.00263,0.00114,0.06929
1783675899101,2156,21.30,3.00,151.01,1.6890,-1.1940,0.1255,0.00496,0.00453,0.06036
1783675899101,2156,20.10,3.15,150.04,0.4890,-1.0440,-0.8445,0.00343,0.00419,0.07955
1783675899161,2216,18.00,4.95,145.44,-1.6110,0.7560,-5.4445,0.00578,0.00183,0.26112
1783675899161,2216,19.35,1.80,151.98,-0.2610,-2.3940,1.0955,-0.00189,0.00579,0.00000
1783675899162,2217,18.75,4.80,149.31,-0.8610,0.6060,-1.5745,0.00041,-0.00087,0.05808
1783675899220,2275,16.95,2.55,148.59,-2.6610,-1.6440,-2.2945,-0.00230,0.00516,0.08008
1783675899221,2276,19.20,7.05,152.70,-0.4110,2.8560,1.8155,-0.00584,-0.01035,0.00000
1783675899221,2276,18.75,8.25,151.49,-0.8610,4.0560,0.6055,-0.00523,-0.01302,0.00000
1783675899221,2276,18.00,5.40,153.67,-1.6110,1.2060,2.7855,-0.01041,-0.00726,0.00000
1783675899222,2277,19.95,4.20,148.35,0.3390,0.0060,-2.5345,0.00587,0.00261,0.15899
1783675899280,2335,17.70,2.85,151.49,-1.9110,-1.3440,0.6055,-0.00597,0.00205,0.00000
1783675899280,2335,17.70,4.65,150.04,-1.9110,0.4560,-0.8445,-0.00388,-0.00184,0.00000
1783675899280,2335,21.00,6.15,152.70,1.3890,1.9560,1.8155,-0.00045,-0.00649,0.00000
1783675899341,2396,18.00,5.40,155.61,-1.6110,1.2060,4.7255,-0.01418,-0.00909,0.00000
1783675899401,2456,19.95,5.40,154.15,0.3390,1.2060,3.2655,-0.00590,-0.00638,0.00000
1783675899401,2456,17.10,4.50,149.56,-2.5110,0.3060,-1.3245,-0.00456,-0.00136,0.00000
1783675899401,2456,19.50,3.30,144.23,-0.1110,-0.8940,-6.6545,0.01300,0.00882,0.40110
1783675899402,2457,20.40,6.75,151.98,0.7890,2.5560,1.0955,-0.00097,-0.00797,0.00000
1783675899402,2457,17.55,4.95,150.28,-2.0610,0.7560,-0.6045,-0.00489,-0.00305,0.00000
1783675899403,2458,18.00,4.80,151.49,-1.6110,0.6060,0.6055,-0.00592,-0.00344,0.00000
1783675899403,2458,19.80,3.15,148.59,0.1890,-1.0440,-2.2945,0.00542,0.00535,0.15588
1783675899461,2516,19.20,5.55,151.73,-0.4110,1.3560,0.8455,-0.00334,-0.00505,0.00000
1783675899461,2516,19.50,5.40,153.43,-0.1110,1.2060,2.5455,-0.00575,-0.00601,0.00000
1783675899461,2516,21.30,2.40,150.28,1.6890,-1.7940,-0.6045,0.00662,0.00697,0.11212
1783675899461,2516,17.55,7.50,152.94,-2.0610,3.3060,2.0555,-0.01110,-0.01302,0.00000
1783675899521,2576,21.15,3.15,150.77,1.5390,-1.0440,-0.1145,0.00495,0.00421,0.06781
1783675899521,2576,20.40,4.65,151.49,0.7890,0.4560,0.6055,0.00084,-0.00137,0.00000
1783675899521,2576,20.10,4.50,151.25,0.4890,0.3060,0.3655,0.00053,-0.00091,0.00000
1783675899580,2635,18.90,2.85,148.59,-0.7110,-1.3440,-2.2945,0.00302,0.00561,0.13357
1783675899580,2635,18.90,5.10,154.64,-0.7110,0.9060,3.7555,-0.00966,-0.00668,0.00000
1783675899581,2636,18.30,5.85,150.52,-1.3110,1.6560,-0.3645,-0.00363,-0.00540,0.00000
1783675899582,2637,21.00,3.90,148.59,1.3890,-0.2940,-2.2945,0.00846,0.00397,0.18048
1783675899700,2755,20.25,4.35,150.28,0.6390,0.1560,-0.6045,0.00290,0.00055,0.05222
1783675899700,2755,18.00,3.00,148.35,-1.6110,-1.1940,-2.5345,0.00092,0.00478,0.11875
1783675899700,2755,17.25,3.90,149.56,-2.3610,-0.2940,-1.3245,-0.00390,0.00050,0.01209
1783675899701,2756,19.05,6.45,152.70,-0.5610,2.2560,1.8155,-0.00602,-0.00870,0.00000
1783675899701,2756,19.35,1.65,150.52,-0.2610,-2.5440,-0.3645,0.00102,0.00761,0.05114
1783675899702,2757,19.05,4.50,151.01,-0.5610,0.3060,0.1255,-0.00194,-0.00140,0.00000
1783675899702,2757,18.90,3.90,151.98,-0.7110,-0.2940,1.0955,-0.00400,-0.00066,0.00000
1783675899703,2758,18.15,3.15,151.49,-1.4610,-1.0440,0.6055,-0.00483,0.00148,0.00000
1783675899760,2815,17.70,4.20,152.94,-1.9110,0.0060,2.0555,-0.00934,-0.00326,0.00000
1783675899760,2815,19.05,2.85,149.80,-0.5610,-1.3440,-1.0845,0.00109,0.00457,0.06689
1783675899760,2815,20.10,4.95,154.40,0.4890,0.7560,3.5155,-0.00578,-0.00520,0.00000
1783675899821,2876,19.35,5.70,151.49,-0.2610,1.5060,0.6055,-0.00252,-0.00516,0.00000
1783675899821,2876,16.80,5.55,153.19,-2.8110,1.3560,2.3055,-0.01289,-0.00806,0.00000
1783675899822,2877,18.30,6.45,152.46,-1.3110,2.2560,1.5755,-0.00764,-0.00898,0.00000
1783675899822,2877,17.70,6.60,149.80,-1.9110,2.4060,-1.0845,-0.00421,-0.00732,0.00000
1783675899881,2936,18.60,3.75,148.59,-1.0110,-0.4440,-2.2945,0.00182,0.00277,0.11141
1783675899882,2937,19.05,5.70,152.22,-0.5610,1.5060,1.3355,-0.00478,-0.00605,0.00000
1783675899882,2937,17.10,9.30,153.19,-2.5110,5.1060,2.3055,-0.01358,-0.01883,0.00000
1783675899882,2937,17.70,3.15,148.59,-1.9110,-1.0440,-2.2945,-0.00045,0.00391,0.09352
1783675899940,2995,18.15,4.20,153.67,-1.4610,0.0060,2.7855,-0.00950,-0.00365,0.00000
