epoch_ms,t_ms,Bx_uT,By_uT,Bz_uT,dBx_uT,dBy_uT,dBz_uT,Fx_N,Fy_N,Fz_N
1783676274881,2644,-2.85,-25.65,99.70,-1.0200,-1.4070,1.1742,-0.00456,0.00231,0.00000
1783676274881,2644,-3.45,-25.50,99.95,-1.6200,-1.2570,1.4242,-0.00678,0.00123,0.00000
1783676274882,2645,-6.30,-24.45,97.77,-4.4700,-0.2070,-0.7558,-0.01093,-0.00173,0.00000
1783676274940,2703,0.15,-22.95,95.59,1.9800,1.2930,-2.9358,0.01072,0.00034,0.21236
1783676274941,2704,-1.65,-24.30,98.49,0.1800,-0.0570,-0.0358,0.00060,0.00032,0.00829
1783676274941,2704,-0.75,-22.65,97.77,1.0800,1.5930,-0.7558,0.00384,-0.00321,0.05305
1783676274941,2704,-0.60,-25.20,96.56,1.2300,-0.9570,-1.9658,0.00765,0.00550,0.16619
1783676275001,2764,-2.40,-26.70,98.25,-0.5700,-2.4570,-0.2758,-0.00006,0.00706,0.03547
1783676275001,2764,-3.30,-23.70,104.06,-1.4700,0.5430,5.5342,-0.01509,-0.00782,0.00000
1783676275002,2765,-3.45,-22.35,97.28,-1.6200,1.8930,-1.2458,-0.00287,-0.00547,0.00000
1783676275061,2824,-2.25,-24.75,100.91,-0.4200,-0.5070,2.3842,-0.00560,-0.00105,0.00000
1783676275061,2824,-0.45,-23.25,93.41,1.3800,0.9930,-5.1158,0.01340,0.00287,0.32713
1783676275062,2825,0.15,-26.55,96.80,1.9800,-2.3070,-1.7258,0.00983,0.00973,0.19423
1783676275062,2825,-0.45,-23.40,97.28,1.3800,0.8430,-1.2458,0.00594,-0.00035,0.10181
1783676275121,2884,0.75,-27.15,96.07,2.5800,-2.9070,-2.4558,0.01317,0.01258,0.26380
1783676275121,2884,-4.95,-24.60,96.80,-3.1200,-0.3570,-1.7258,-0.00521,0.00054,0.01407
1783676275121,2884,-0.90,-23.40,96.07,0.9300,0.8430,-2.4558,0.00703,0.00049,0.15959
1783676275122,2885,-2.10,-23.10,101.64,-0.2700,1.1430,3.1142,-0.00728,-0.00647,0.00000
1783676275181,2944,-5.85,-26.40,99.22,-4.0200,-2.1570,0.6942,-0.01170,0.00291,0.00000
